name,dapil_id
ACEH 1,110001
ACEH 10,110010
ACEH 2,110002
ACEH 3,110003
ACEH 4,110004
ACEH 5,110005
ACEH 6,110006
ACEH 7,110007
ACEH 8,110008
ACEH 9,110009
SUMATERA UTARA 1,120001
SUMATERA UTARA 10,120010
SUMATERA UTARA 11,120011
SUMATERA UTARA 12,120012
SUMATERA UTARA 2,120002
SUMATERA UTARA 3,120003
SUMATERA UTARA 4,120004
SUMATERA UTARA 5,120005
SUMATERA UTARA 6,120006
SUMATERA UTARA 7,120007
SUMATERA UTARA 8,120008
SUMATERA UTARA 9,120009
SUMATERA BARAT 1,130001
SUMATERA BARAT 2,130002
SUMATERA BARAT 3,130003
SUMATERA BARAT 4,130004
SUMATERA BARAT 5,130005
SUMATERA BARAT 6,130006
SUMATERA BARAT 7,130007
SUMATERA BARAT 8,130008
RIAU 1,140001
RIAU 2,140002
RIAU 3,140003
RIAU 4,140004
RIAU 5,140005
RIAU 6,140006
RIAU 7,140007
RIAU 8,140008
JAMBI 1,150001
JAMBI 2,150002
JAMBI 3,150003
JAMBI 4,150004
JAMBI 5,150005
JAMBI 6,150006
SUMATERA SELATAN 1,160001
SUMATERA SELATAN 10,160010
SUMATERA SELATAN 2,160002
SUMATERA SELATAN 3,160003
SUMATERA SELATAN 4,160004
SUMATERA SELATAN 5,160005
SUMATERA SELATAN 6,160006
SUMATERA SELATAN 7,160007
SUMATERA SELATAN 8,160008
SUMATERA SELATAN 9,160009
BENGKULU 1,170001
BENGKULU 2,170002
BENGKULU 3,170003
BENGKULU 4,170004
BENGKULU 5,170005
BENGKULU 6,170006
BENGKULU 7,170007
LAMPUNG 1,180001
LAMPUNG 2,180002
LAMPUNG 3,180003
LAMPUNG 4,180004
LAMPUNG 5,180005
LAMPUNG 6,180006
LAMPUNG 7,180007
LAMPUNG 8,180008
KEPULAUAN BANGKA BELITUNG 1,190001
KEPULAUAN BANGKA BELITUNG 2,190002
KEPULAUAN BANGKA BELITUNG 3,190003
KEPULAUAN BANGKA BELITUNG 4,190004
KEPULAUAN BANGKA BELITUNG 5,190005
KEPULAUAN BANGKA BELITUNG 6,190006
KEPULAUAN RIAU 1,210001
KEPULAUAN RIAU 2,210002
KEPULAUAN RIAU 3,210003
KEPULAUAN RIAU 4,210004
KEPULAUAN RIAU 5,210005
KEPULAUAN RIAU 6,210006
KEPULAUAN RIAU 7,210007
DKI JAKARTA 1,310001
DKI JAKARTA 10,310010
DKI JAKARTA 2,310002
DKI JAKARTA 3,310003
DKI JAKARTA 4,310004
DKI JAKARTA 5,310005
DKI JAKARTA 6,310006
DKI JAKARTA 7,310007
DKI JAKARTA 8,310008
DKI JAKARTA 9,310009
JAWA BARAT 1,320001
JAWA BARAT 10,320010
JAWA BARAT 11,320011
JAWA BARAT 12,320012
JAWA BARAT 13,320013
JAWA BARAT 14,320014
JAWA BARAT 15,320015
JAWA BARAT 2,320002
JAWA BARAT 3,320003
JAWA BARAT 4,320004
JAWA BARAT 5,320005
JAWA BARAT 6,320006
JAWA BARAT 7,320007
JAWA BARAT 8,320008
JAWA BARAT 9,320009
JAWA TENGAH 1,330001
JAWA TENGAH 10,330010
JAWA TENGAH 11,330011
JAWA TENGAH 12,330012
JAWA TENGAH 13,330013
JAWA TENGAH 2,330002
JAWA TENGAH 3,330003
JAWA TENGAH 4,330004
JAWA TENGAH 5,330005
JAWA TENGAH 6,330006
JAWA TENGAH 7,330007
JAWA TENGAH 8,330008
JAWA TENGAH 9,330009
DAERAH ISTIMEWA YOGYAKARTA 1,340001
DAERAH ISTIMEWA YOGYAKARTA 2,340002
DAERAH ISTIMEWA YOGYAKARTA 3,340003
DAERAH ISTIMEWA YOGYAKARTA 4,340004
DAERAH ISTIMEWA YOGYAKARTA 5,340005
DAERAH ISTIMEWA YOGYAKARTA 6,340006
DAERAH ISTIMEWA YOGYAKARTA 7,340007
